tourist_arrivals_dataset
tourist_arrivals,,,,,,,,,,,,,,,,,,
date,year,month,quarter,season,monsoon,is_holiday_peak,temp_mean_c,temp_min_c,temp_max_c,rainfall_mm,rainy_days,humidity_pct,typhoon_count,typhoon_max_wind_kt,storm_signal_days,pm25_ugm3,wave_height_m,arrivals
2000-01-01,2000,1,1,Dry,Amihan,1,27.31,23.72,32.04,64.8,10,80.2,0,0,0,18.8,0.91,227956
2000-02-01,2000,2,1,Dry,Amihan,0,27.77,24.18,32.55,65.4,11,76.9,3,66,7,20.9,1.24,186572
2000-03-01,2000,3,1,Dry,Transition,0,27.98,24.55,31.79,94.8,11,79.3,0,0,0,21.2,0.53,185468
2000-04-01,2000,4,2,Dry,Transition,1,28.55,25.07,33.01,95.7,9,75.4,1,97,1,22.1,1.08,187352
2000-05-01,2000,5,2,Dry,Transition,0,28.59,24.41,32.23,320.8,22,82.7,0,0,0,16.3,0.99,143875
2000-06-01,2000,6,2,Wet,Habagat,0,28.43,24.91,33.3,222.5,18,80.9,1,35,3,15.3,1.6,150797
2000-07-01,2000,7,3,Wet,Habagat,0,28.69,24.87,32.77,319.3,26,77.3,3,111,7,9.7,1.92,127842
2000-08-01,2000,8,3,Wet,Habagat,0,27.24,24.02,31.25,252.6,20,83.6,0,0,0,11.2,1.79,128078
2000-09-01,2000,9,3,Wet,Habagat,0,26.92,23.21,31.46,203.5,19,84.9,3,66,6,12.4,2.13,124241
2000-10-01,2000,10,4,Wet,Transition,0,25.95,22.01,30.74,250.1,21,79.1,4,83,11,12.4,2.22,114990
2000-11-01,2000,11,4,Wet,Transition,0,26.58,23.16,30.81,218.7,18,80.9,3,116,7,14.5,1.54,142465
2000-12-01,2000,12,4,Dry,Amihan,1,26.53,22.83,30.47,110.4,11,76.7,2,99,6,17.8,1.21,198117
2001-01-01,2001,1,1,Dry,Amihan,1,27.27,22.9,31.94,81.1,11,80.9,0,0,0,15.8,0.92,255625
2001-02-01,2001,2,1,Dry,Amihan,0,27.08,23.71,31.2,75.7,7,78.7,0,0,0,20.3,0.56,34240153
2001-03-01,2001,3,1,Dry,Transition,0,28.07,24.14,32.69,98.6,12,79.9,0,0,0,17.5,0.87,192346
2001-04-01,2001,4,2,Dry,Transition,1,29.33,25.16,33.82,155.4,14,82.9,1,105,2,21.8,1.25,191715
2001-05-01,2001,5,2,Dry,Transition,0,29.3,25.67,34.1,146.0,13,80.1,0,0,0,21.3,1.05,175719
2001-06-01,2001,6,2,Wet,Habagat,0,28.81,25.51,32.94,273.1,21,82.3,1,45,4,12.4,1.59,145890
2001-07-01,2001,7,3,Wet,Habagat,0,28.75,24.53,32.54,239.6,18,83.6,2,66,7,14.2,1.96,135686
2001-08-01,2001,8,3,Wet,Habagat,0,27.24,24.02,31.22,331.7,25,81.5,3,88,8,11.7,2.15,111750
2001-09-01,2001,9,3,Wet,Habagat,0,27.47,23.27,31.17,404.3,29,83.1,3,35,9,11.5,1.83,117912
2001-10-01,2001,10,4,Wet,Transition,0,26.45,22.59,31.43,377.2,27,81.7,0,0,0,14.0,1.31,159196
2001-11-01,2001,11,4,Wet,Transition,0,25.79,21.66,29.43,141.1,15,77.8,5,66,13,14.7,1.67,168558
2001-12-01,2001,12,4,Dry,Amihan,1,25.85,21.49,30.78,159.7,13,82.1,4,60,13,13.6,1.31,210236
2002-01-01,2002,1,1,Dry,Amihan,1,26.32,22.11,30.19,72.4,10,79.0,0,0,0,17.6,0.7,279172
2002-02-01,2002,2,1,Dry,Amihan,0,28.09,24.0,32.94,72.7,9,78.3,2,72,6,21.8,0.89,258014
2002-03-01,2002,3,1,Dry,Transition,0,27.88,24.62,32.0,81.5,12,76.7,0,0,0,18.1,0.66,224813
2002-04-01,2002,4,2,Dry,Transition,1,29.82,26.07,34.66,135.2,13,79.0,1,82,3,20.1,0.74,260280
2002-05-01,2002,5,2,Dry,Transition,0,28.67,24.96,32.31,149.4,16,80.2,0,0,0,18.7,0.92,216018
2002-06-01,2002,6,2,Wet,Habagat,0,28.93,24.85,33.6,178.6,16,80.5,1,35,1,16.1,1.51,183793
2002-07-01,2002,7,3,Wet,Habagat,0,28.41,24.41,32.86,196.0,14,81.7,5,62,10,15.6,2.03,155011
2002-08-01,2002,8,3,Wet,Habagat,0,27.94,24.5,31.66,256.1,19,83.7,3,61,7,13.6,2.3,158218
2002-09-01,2002,9,3,Wet,Habagat,0,26.64,22.42,31.56,256.7,18,78.4,4,73,15,13.7,2.1,116158
2002-10-01,2002,10,4,Wet,Transition,0,26.32,22.97,30.27,307.9,23,80.1,2,62,4,10.4,1.59,142738
2002-11-01,2002,11,4,Wet,Transition,0,26.03,22.61,30.82,271.4,20,81.7,3,126,12,12.8,1.67,168381
2002-12-01,2002,12,4,Dry,Amihan,1,26.45,22.06,30.66,163.8,15,79.1,3,111,5,15.0,1.38,
2003-01-01,2003,1,1,Dry,Amihan,1,26.53,23.13,31.3,95.7,12,76.1,0,0,0,16.7,0.61,267111
2003-02-01,2003,2,1,Dry,Amihan,0,27.04,22.85,31.68,121.0,11,79.2,0,0,0,17.0,0.55,267944
2003-03-01,2003,3,1,Dry,Transition,0,28.3,24.52,32.45,76.0,10,79.7,0,0,0,18.5,0.5,208760
2003-04-01,2003,4,2,Dry,Transition,1,29.31,25.86,33.8,88.1,10,77.1,1,61,2,21.1,1.2,187754
2003-05-01,2003,5,2,Dry,Transition,0,29.18,24.88,34.05,148.0,14,77.3,0,0,0,20.6,1.54,162884
2003-06-01,2003,6,2,Wet,Habagat,0,28.3,24.86,32.86,249.0,20,78.8,2,35,5,17.1,1.77,136377
2003-07-01,2003,7,3,Wet,Habagat,0,28.13,24.63,31.89,206.9,18,75.4,2,69,4,14.8,1.69,152111
2003-08-01,2003,8,3,Wet,Habagat,0,27.63,24.15,31.81,207.4,17,79.1,3,96,6,12.0,2.06,154118
2003-09-01,2003,9,3,Wet,Habagat,0,27.06,23.02,31.65,234.6,17,78.9,2,106,7,13.9,1.81,148840
2003-10-01,2003,10,4,Wet,Transition,0,26.47,22.2,31.01,234.4,22,80.8,3,93,5,14.0,1.78,157264
2003-11-01,2003,11,4,Wet,Transition,0,26.19,22.19,30.41,254.1,19,80.2,1,76,3,12.3,0.91,223588
2003-12-01,2003,12,4,Dry,Amihan,1,27.14,23.59,31.52,94.7,8,77.4,4,109,10,14.6,1.34,274342
